"id","clust_5","clust_3","clust_pred4_5"
3591,2,1,"4"
3592,2,1,"2"
3593,2,1,"2"
3594,2,1,"2"
3595,2,1,"2"
3596,2,1,"2"
3597,2,1,"2"
3598,2,1,"2"
3599,2,1,"2"
3600,2,1,"2"
3601,2,1,"2"
3602,2,1,"3"
3603,4,3,"4"
3604,4,3,"4"
3605,4,3,"4"
3606,4,3,"4"
3607,2,1,"4"
3608,4,3,"4"
3609,4,3,"4"
3610,4,3,"4"
3611,4,3,"4"
3612,4,3,"4"
3613,4,3,"4"
3614,4,3,"4"
3615,4,3,"4"
3616,4,3,"4"
3617,3,2,"4"
3618,3,2,"3"
3619,3,2,"3"
3620,3,2,"3"
3621,3,2,"3"
3622,3,2,"3"
3623,3,2,"3"
3624,3,2,"4"
3625,3,2,"4"
3626,3,2,"4"
3627,3,2,"4"
3628,3,2,"4"
3629,3,2,"4"
3630,3,2,"3"
3638,3,2,"4"
3639,3,2,"3"
3644,3,2,"4"
3645,3,2,"4"
3646,3,2,"4"
3672,2,1,"4"
3673,2,1,"4"
3674,2,1,"4"
3675,2,1,"4"
3676,2,1,"3"
3677,2,1,"3"
3678,2,1,"4"
3679,2,1,"2"
3680,2,1,"2"
3681,2,1,"2"
3682,2,1,"2"
3683,2,1,"2"
3684,2,1,"2"
3685,2,1,"2"
3686,2,1,"2"
3687,2,1,"2"
3688,2,1,"2"
3689,2,1,"3"
3690,2,1,"3"
3691,4,3,"4"
3692,4,3,"4"
3693,4,3,"4"
3694,4,3,"4"
3695,2,1,"4"
3696,4,3,"4"
3697,4,3,"4"
3698,4,3,"4"
3699,4,3,"4"
3700,4,3,"4"
3701,4,3,"4"
3702,4,3,"4"
3703,4,3,"4"
3704,4,3,"4"
3705,3,2,"4"
3706,3,2,"4"
3707,3,2,"4"
3708,3,2,"3"
3709,3,2,"3"
3710,3,2,"3"
3711,3,2,"4"
3712,3,2,"3"
3713,3,2,"3"
3714,3,2,"3"
3715,3,2,"4"
3716,3,2,"4"
3717,3,2,"4"
3718,3,2,"4"
3719,3,2,"3"
3727,3,2,"4"
3728,3,2,"3"
3733,3,2,"4"
3734,3,2,"4"
3760,2,1,"4"
3761,2,1,"4"
3762,2,1,"4"
3763,2,1,"4"
3764,2,1,"2"
3765,2,1,"4"
3766,2,1,"2"
3767,2,1,"2"
3768,2,1,"2"
3769,2,1,"4"
3770,2,1,"2"
3771,2,1,"2"
3772,2,1,"2"
3773,2,1,"2"
3774,2,1,"3"
3775,2,1,"2"
3776,2,1,"2"
3777,2,1,"2"
3778,2,1,"2"
3779,2,1,"3"
3780,2,1,"4"
3781,2,1,"4"
3782,2,1,"4"
3783,2,1,"4"
3784,4,3,"4"
3785,4,3,"4"
3786,4,3,"4"
3787,4,3,"4"
3788,4,3,"4"
3789,4,3,"3"
3790,4,3,"3"
3791,4,3,"4"
3792,4,3,"4"
3793,4,3,"4"
3794,3,2,"3"
3795,3,2,"3"
3796,3,2,"4"
3797,3,2,"4"
3798,3,2,"4"
3799,3,2,"3"
3800,3,2,"3"
3801,3,2,"3"
3802,3,2,"3"
3803,3,2,"3"
3804,3,2,"4"
3805,3,2,"4"
3806,3,2,"4"
3807,3,2,"3"
3808,3,2,"3"
3809,3,2,"3"
3815,3,2,"4"
3816,3,2,"3"
3817,3,2,"3"
3818,3,2,"3"
3819,3,2,"4"
3820,3,2,"3"
